mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL,NOMBRE_INS,REGIÓN,COMUNA,LATITUD_UNI,LONGITUD_UNI,TIPO_INST
6831504,1631.0,5,Valparaíso,667,681,635,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,OBSTETRICIA Y PUERICULTURA,Valparaíso,SAN FELIPE DE ACONCAGUA,SAN FELIPE,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso,"COLEGIO DE LOS SAGRADOS CORAZONES, PADRES FRANCESES",5.0,3.0,-33.017607,-71.526852,,,,-32.741343,-70.702695,
5122323,40289.0,5,Valparaíso,598,598,"555,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,89,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,GEOGRAFIA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso,INSTITUTO BICENTENARIO J.MIGUEL CARRERA,5.0,1.0,-33.597321,-71.613777,,,,,,
20400528,4805.0,8,Biobío,581,599,0,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,KINESIOLOGIA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,LICEO PENCOPOLITANO,8.0,1.0,-36.738831,-73.00135,,,,,,
2444539,4762.0,8,Biobío,433,435,"502,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,39,UNIVERSIDAD SAN SEBASTIAN,KINESIOLOGIA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,LICEO LA ASUNCION,8.0,2.0,-36.746559,-73.109711,,,,,,
9302109,4805.0,8,Biobío,577,590,458,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,39,UNIVERSIDAD SAN SEBASTIAN,TERAPIA OCUPACIONAL,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,LICEO PENCOPOLITANO,8.0,1.0,-36.738831,-73.00135,,,,,,
16143135,25349.0,13,Metropolitana,538,538,460,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,75,UNIVERSIDAD DEL BIO-BIO,INGENIERIA CIVIL MECANICA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,COLEGIO PARTICULAR MELFORD COLLEGE,13.0,2.0,-33.361912,-70.728961,,,,,,
1290740,4553.0,8,Biobío,775,831,711,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,90,UNIVERSIDAD AUSTRAL DE CHILE,MEDICINA,Los Ríos,VALDIVIA,VALDIVIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Ríos,LICEO DE NIÑAS,8.0,5.0,-36.830212,-73.050911,UNIVERSIDAD AUSTRAL DE CHILE,Los Ríos,VALDIVIA,-39.792732,-73.392719,Universidades privadas cruch
24255262,4277.0,8,Biobío,711,821,"442,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,93,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,LICENCIATURA EN DERECHO,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,CENTRO EDUCACIÓN ADVENTISTA LOS ÁNGELES,8.0,2.0,-37.432491,-72.184799,,,,,,
15276661,4824.0,8,Biobío,610,652,"537,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,39,UNIVERSIDAD SAN SEBASTIAN,PSICOLOGIA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,LICEO BICENTENARIO DE EXCELENCIA INDUSTRIAL DE TOME,8.0,4.0,-36.610809,-72.955467,,,,,,
17745613,18114.0,8,Biobío,652,656,498,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,39,UNIVERSIDAD SAN SEBASTIAN,KINESIOLOGIA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,COLEGIO A-LAFKEN,8.0,2.0,-36.743118,-72.996758,,,,,,
